Feature,Importance
Year,0.0001989742698171303
Month,0.0003341093180864792
Production_Units,0.9914136778553901
Avg_Price_USD,0.000689260200031762
Battery_Capacity_kWh,7.847200151699694e-05
Range_km,0.0007509380661844053
CO2_Saved_tons,0.0014014862296410945
Charging_Stations,0.000622189566026318
Quarter,7.859887078706788e-05
Is_Q4,2.5456781860320232e-05
Year_Month_Index,0.000579308564550712
Lag_1,0.000517921643550554
Lag_3,0.0006238396259707006
Lag_6,0.000698520969469162
Rolling_Mean_3,0.0005717517988088181
Rolling_Mean_6,0.0006883569193373212
YoY_Growth,0.0007271373189710635
